year,age,maritl,race,education,region,jobclass,health,health_ins,salario_alto
2004,34,Divorced,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2009,53,Married,White,< HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2009,53,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,70,Married,Asian,Advanced Degree,Middle Atlantic,Information,<=Good,No,Si
2004,47,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,46,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,33,Divorced,White,< HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2005,34,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,No
2006,22,Never Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2009,74,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,40,Married,Black,Some College,Middle Atlantic,Information,<=Good,Yes,No
2006,45,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,43,Married,Asian,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,33,Married,Asian,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,62,Married,Black,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,37,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,54,Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2005,34,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,No
2008,50,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2006,46,Divorced,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,No
2007,41,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,63,Divorced,Black,Some College,Middle Atlantic,Industrial,<=Good,Yes,No
2007,38,Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,Si
2006,35,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2009,29,Married,White,College Grad,Middle Atlantic,Information,<=Good,Yes,No
2008,66,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,37,Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2006,39,Married,Black,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,42,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2007,51,Divorced,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2009,55,Married,Asian,Advanced Degree,Middle Atlantic,Industrial,<=Good,Yes,No
2006,51,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2008,38,Married,White,Advanced Degree,Middle Atlantic,Industrial,<=Good,Yes,Si
2005,49,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2006,42,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2009,43,Separated,White,< HS Grad,Middle Atlantic,Information,<=Good,No,No
2006,38,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,59,Married,Asian,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,57,Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,No
2005,25,Never Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2004,49,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2004,41,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2009,38,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,61,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,49,Divorced,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2008,52,Divorced,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,43,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,60,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,46,Married,Asian,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,21,Never Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2009,61,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,32,Married,Black,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,58,Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2003,35,Never Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2004,26,Never Married,Black,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2006,32,Never Married,Black,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,37,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2007,22,Never Married,Asian,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2005,51,Never Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2004,44,Divorced,White,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,Si
2005,35,Married,Asian,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2004,60,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,40,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,35,Never Married,White,< HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2007,35,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,No,No
2008,47,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,43,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,33,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2003,60,Divorced,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2008,38,Married,Asian,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2005,53,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2004,55,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,57,Married,Black,HS Grad,Middle Atlantic,Information,<=Good,No,No
2005,64,Married,White,College Grad,Middle Atlantic,Information,<=Good,No,No
2007,43,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2008,35,Married,Black,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,54,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2007,45,Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2003,58,Divorced,Asian,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,48,Married,White,College Grad,Middle Atlantic,Information,<=Good,No,Si
2003,46,Married,Asian,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,46,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2009,55,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,51,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2005,49,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2008,34,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,53,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,Si
2004,40,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,50,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2006,37,Divorced,White,< HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2003,39,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2004,52,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2003,50,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,48,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2006,47,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2005,27,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,39,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2009,44,Married,Black,HS Grad,Middle Atlantic,Information,<=Good,Yes,Si
2003,37,Married,Black,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2006,52,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2004,26,Never Married,Asian,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2008,39,Married,Asian,Advanced Degree,Middle Atlantic,Industrial,<=Good,Yes,No
2006,25,Married,Black,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2005,31,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,No,No
2004,58,Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,Si
2005,30,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2004,27,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2003,40,Divorced,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,55,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,35,Married,Asian,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,48,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2006,29,Never Married,Asian,College Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2005,25,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,40,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2006,27,Married,White,< HS Grad,Middle Atlantic,Information,<=Good,No,No
2006,44,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,49,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,22,Never Married,White,Some College,Middle Atlantic,Industrial,<=Good,No,No
2007,45,Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,No
2007,33,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,No
2007,63,Married,Black,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,49,Never Married,Black,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2005,39,Never Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,25,Never Married,Other,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2005,29,Never Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,37,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2008,35,Married,White,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,Si
2009,46,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2008,58,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,39,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2008,41,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,29,Married,Black,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2009,37,Married,White,College Grad,Middle Atlantic,Information,<=Good,Yes,No
2009,62,Married,White,HS Grad,Middle Atlantic,Information,<=Good,No,No
2008,27,Never Married,Black,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,37,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2006,56,Separated,Asian,College Grad,Middle Atlantic,Information,<=Good,No,No
2004,36,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,23,Never Married,Other,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2003,46,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2009,26,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,No
2006,43,Married,White,< HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2007,36,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,54,Separated,White,Some College,Middle Atlantic,Information,<=Good,Yes,No
2003,62,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,40,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,53,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2007,48,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,23,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2009,34,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,43,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,No,Si
2006,55,Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2007,59,Never Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2007,60,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2009,49,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,45,Married,Asian,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2006,31,Divorced,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2004,34,Never Married,White,College Grad,Middle Atlantic,Information,<=Good,Yes,No
2005,26,Never Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,No
2007,22,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2004,40,Married,White,HS Grad,Middle Atlantic,Information,<=Good,No,No
2009,41,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2006,36,Never Married,Black,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,38,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,48,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2006,47,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,47,Separated,White,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2007,35,Married,White,College Grad,Middle Atlantic,Information,<=Good,No,Si
2008,49,Married,Asian,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2004,40,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2004,32,Widowed,Asian,College Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2008,57,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2008,56,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,73,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2007,29,Never Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2003,49,Married,Asian,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,30,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2008,29,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,36,Married,White,Some College,Middle Atlantic,Information,>=Very Good,No,No
2009,39,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,48,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2006,45,Married,Black,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,50,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,No,No
2003,42,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2007,58,Married,White,Some College,Middle Atlantic,Industrial,<=Good,No,Si
2007,48,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,48,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,45,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,41,Divorced,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2008,27,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,44,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,32,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,46,Married,White,< HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,52,Married,Black,HS Grad,Middle Atlantic,Information,<=Good,No,No
2003,22,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,No
2004,53,Widowed,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2008,34,Married,White,Advanced Degree,Middle Atlantic,Industrial,<=Good,Yes,Si
2009,38,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,42,Married,White,< HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2005,25,Never Married,Black,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2004,29,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,28,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,46,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,55,Married,Black,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,56,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2005,41,Divorced,Black,HS Grad,Middle Atlantic,Information,<=Good,Yes,Si
2009,61,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,No,Si
2003,47,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2006,52,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,27,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2007,33,Never Married,Black,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2003,58,Never Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2005,27,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,52,Separated,Black,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,45,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,No,No
2003,22,Never Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2005,25,Never Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,No
2004,25,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,41,Married,Black,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2006,54,Separated,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2007,23,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,36,Never Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,31,Separated,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,No
2006,52,Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2007,46,Married,Black,HS Grad,Middle Atlantic,Information,<=Good,No,No
2007,45,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2009,40,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2004,33,Never Married,Asian,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2007,42,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,41,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,25,Never Married,Other,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,24,Divorced,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,24,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,Si
2008,51,Married,White,HS Grad,Middle Atlantic,Information,<=Good,No,No
2004,41,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,Si
2009,42,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2005,30,Never Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2009,55,Married,Asian,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2008,23,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,60,Divorced,White,College Grad,Middle Atlantic,Information,>=Very Good,No,No
2003,40,Married,Asian,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,41,Never Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,80,Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2005,53,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2004,40,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,Si
